VIDEO;LIBRO;AUTOR;GÉNERO;AÑO ;LIKES;COMENTARIOS;VIEWS;GUARDADOS
1;The Bully;G. Gerngross, Herbert Puchta;Drama;2001;157.000;1002;1.800.000;29400
1;Seven days in june;Tia Williams;Novela;2021;157.000;1002;1.800.000;29400
1;El camino a Rhodes;Mariana Zapata;Ficción;2023;157.000;1002;1.800.000;29400
1;A million Junes;Emily Henry;Ficción;2017;157.000;1002;1.800.000;29400
1;One true loves;Taylor Jenkins;Ficción;2016;157.000;1002;1.800.000;29400
1;Clap When You Land; Elizabeth Acevedo;Contemporánea;2020;157.000;1002;1.800.000;24900
1;People we meet on vacation;Emily Henry ;Ficción;2021;157.000;1002;1.800.000;24900
1;Sinner;Sierra Simone;Novela;2018;157.000;1002;1.800.000;24900
1;The simple wild;K.A Tucker;Ficción;2018;157.000;1002;1.800.000;24900
1;Beach Read;Emily Henry;Ficción;2020;157.000;1002;1.800.000;24900
2;Asesinato para principiantes;"
Holly Jackson";Novela;2019;12.600;154;44.600;1740
2;The love hypothesis;Ali Hazelwood;Literatura;2021;12.600;154;44.600;1740
2;Los siete maridos de Evelyn Hugo;Taylor Jenkins;Ficción;2017;12600;154;44600;1740
2;Winter;Marissa Meyer;Ficción;2016;12600;154;44600;1740
2;The hoyse in the cerulean sea;T.J. Klune;Novela;2020;12600;154;44600;1740
2;Caraval;Stephanie Garber ;Fantasía;2021;12600;154;44600;1740
2;La canción del lobo;T.J. Klune;Novela;2021;12600;154;44600;1740
2;It ends with us;Colleen Hoover;Ficción;2016;12600;154;44600;1740
3;It ends with us;Colleen Hoover;Ficción;2016;1.200.000;10700;16.800.000;421,7
3;In five years;Revecca Serle;Ficción;2020;1200000;10700;16800000;421,7
3;Los siete maridos de Evelyn Hugo;Taylor Jenkins;Ficción;2017;1200000;10700;16800000;421,7
3;Asesinato para principiantes;Holly Jackson;Novela;2019;1200000;10700;16800000;421,7
3;Every last word;Tamara Ireland;Ficción;2016;1200000;10700;16800000;421,7
3;Better than the movies;Lynn Painter;Ficción;2021;1200000;10700;16800000;421,7
3;The upside of falling;Alex Light;Ficción;2020;1200000;10700;16800000;421,7
3;The ex talk;Rachel Lynn;Ficción;2021;1200000;10700;16800000;421,7
4;Ugly love;Colleen Hoover;Ficción;2014;44.700;279;709.500;7909
4;People we meet on vacation;Emily Henry;Ficción;2020;44.700;279;709.500;7909
4;Crave;Tracy Wolff;Ficción;2021;44.700;279;709.500;7909
4;November 9;Colleen Hoover;Ficción;2015;44.700;279;709.500;7909
4;All you perfects;Colleen Hoover;Ficción;2028;44.700;279;709.500;7909
4;It ends with us;Colleen Hoover;Ficción;2016;44.700;279;709.500;7909
4;Hopeless;Colleen Hoover;Ficción;2013;44.700;279;709.500;7909
4;A thousand boy kisses;Tillie Cole;Ficción;2026;44.700;279;709.500;7909
